address	name	signature	status	file	diagnostic
0002e294	<EXTERNAL>::vsnprintf	int vsnprintf(char * __s, size_t __maxlen, char * __format, __gnuc_va_list __arg)	ok	functions/0002e294__EXTERNAL___vsnprintf.c	
0002e2a0	<EXTERNAL>::__stack_chk_fail	noreturn undefined __stack_chk_fail(void)	ok	functions/0002e2a0__EXTERNAL_____stack_chk_fail.c	
0002e2b8	<EXTERNAL>::fprintf	int fprintf(FILE * __stream, char * __format, ...)	ok	functions/0002e2b8__EXTERNAL___fprintf.c	
0002e2e8	<EXTERNAL>::fseek	int fseek(FILE * __stream, long __off, int __whence)	ok	functions/0002e2e8__EXTERNAL___fseek.c	
0002e2f4	<EXTERNAL>::fclose	int fclose(FILE * __stream)	ok	functions/0002e2f4__EXTERNAL___fclose.c	
0002e300	<EXTERNAL>::fopen	FILE * fopen(char * __filename, char * __modes)	ok	functions/0002e300__EXTERNAL___fopen.c	
0002e30c	<EXTERNAL>::memcpy	void * memcpy(void * __dest, void * __src, size_t __n)	ok	functions/0002e30c__EXTERNAL___memcpy.c	
0002e318	<EXTERNAL>::strlen	size_t strlen(char * __s)	ok	functions/0002e318__EXTERNAL___strlen.c	
0002e324	<EXTERNAL>::memmove	void * memmove(void * __dest, void * __src, size_t __n)	ok	functions/0002e324__EXTERNAL___memmove.c	
0002e330	<EXTERNAL>::memcmp	int memcmp(void * __s1, void * __s2, size_t __n)	ok	functions/0002e330__EXTERNAL___memcmp.c	
0002e33c	<EXTERNAL>::atol	long atol(char * __nptr)	ok	functions/0002e33c__EXTERNAL___atol.c	
0002e348	<EXTERNAL>::snprintf	int snprintf(char * __s, size_t __maxlen, char * __format, ...)	ok	functions/0002e348__EXTERNAL___snprintf.c	
0002e354	<EXTERNAL>::__android_log_write	undefined __android_log_write(void)	ok	functions/0002e354__EXTERNAL_____android_log_write.c	
0002e360	<EXTERNAL>::AAssetManager_open	undefined AAssetManager_open(void)	ok	functions/0002e360__EXTERNAL___AAssetManager_open.c	
0002e36c	<EXTERNAL>::mkdir	int mkdir(char * __path, __mode_t __mode)	ok	functions/0002e36c__EXTERNAL___mkdir.c	
0002e378	<EXTERNAL>::__errno	undefined __errno(void)	ok	functions/0002e378__EXTERNAL_____errno.c	
0002e384	<EXTERNAL>::AAssetManager_fromJava	undefined AAssetManager_fromJava(void)	ok	functions/0002e384__EXTERNAL___AAssetManager_fromJava.c	
