address	name	signature	status	file	diagnostic
0002e49c	<EXTERNAL>::vsnprintf	int vsnprintf(char * __s, size_t __maxlen, char * __format, __gnuc_va_list __arg)	ok	functions/0002e49c__EXTERNAL___vsnprintf.c	
0002e4a8	<EXTERNAL>::__stack_chk_fail	noreturn undefined __stack_chk_fail(void)	ok	functions/0002e4a8__EXTERNAL_____stack_chk_fail.c	
0002e4c0	<EXTERNAL>::fprintf	int fprintf(FILE * __stream, char * __format, ...)	ok	functions/0002e4c0__EXTERNAL___fprintf.c	
0002e4f0	<EXTERNAL>::fseek	int fseek(FILE * __stream, long __off, int __whence)	ok	functions/0002e4f0__EXTERNAL___fseek.c	
0002e4fc	<EXTERNAL>::fclose	int fclose(FILE * __stream)	ok	functions/0002e4fc__EXTERNAL___fclose.c	
0002e508	<EXTERNAL>::fopen	FILE * fopen(char * __filename, char * __modes)	ok	functions/0002e508__EXTERNAL___fopen.c	
0002e514	<EXTERNAL>::memcpy	void * memcpy(void * __dest, void * __src, size_t __n)	ok	functions/0002e514__EXTERNAL___memcpy.c	
0002e520	<EXTERNAL>::strlen	size_t strlen(char * __s)	ok	functions/0002e520__EXTERNAL___strlen.c	
0002e52c	<EXTERNAL>::memmove	void * memmove(void * __dest, void * __src, size_t __n)	ok	functions/0002e52c__EXTERNAL___memmove.c	
0002e538	<EXTERNAL>::memcmp	int memcmp(void * __s1, void * __s2, size_t __n)	ok	functions/0002e538__EXTERNAL___memcmp.c	
0002e544	<EXTERNAL>::atol	long atol(char * __nptr)	ok	functions/0002e544__EXTERNAL___atol.c	
0002e550	<EXTERNAL>::snprintf	int snprintf(char * __s, size_t __maxlen, char * __format, ...)	ok	functions/0002e550__EXTERNAL___snprintf.c	
0002e55c	<EXTERNAL>::__android_log_write	undefined __android_log_write(void)	ok	functions/0002e55c__EXTERNAL_____android_log_write.c	
0002e568	<EXTERNAL>::AAssetManager_open	undefined AAssetManager_open(void)	ok	functions/0002e568__EXTERNAL___AAssetManager_open.c	
0002e574	<EXTERNAL>::mkdir	int mkdir(char * __path, __mode_t __mode)	ok	functions/0002e574__EXTERNAL___mkdir.c	
0002e580	<EXTERNAL>::__errno	undefined __errno(void)	ok	functions/0002e580__EXTERNAL_____errno.c	
0002e58c	<EXTERNAL>::AAssetManager_fromJava	undefined AAssetManager_fromJava(void)	ok	functions/0002e58c__EXTERNAL___AAssetManager_fromJava.c	
0002e598	<EXTERNAL>::__aeabi_atexit	undefined __aeabi_atexit(void)	ok	functions/0002e598__EXTERNAL_____aeabi_atexit.c	
0002e5a4	<EXTERNAL>::AAsset_close	undefined AAsset_close(void)	ok	functions/0002e5a4__EXTERNAL___AAsset_close.c	
0002e5b0	<EXTERNAL>::AAsset_getLength	undefined AAsset_getLength(void)	ok	functions/0002e5b0__EXTERNAL___AAsset_getLength.c	
0002e5bc	<EXTERNAL>::AAsset_getBuffer	undefined AAsset_getBuffer(void)	ok	functions/0002e5bc__EXTERNAL___AAsset_getBuffer.c	
0002e5c8	<EXTERNAL>::tanf	float tanf(float __x)	ok	functions/0002e5c8__EXTERNAL___tanf.c	
0002e5d4	<EXTERNAL>::atanf	float atanf(float __x)	ok	functions/0002e5d4__EXTERNAL___atanf.c	
0002e5e0	<EXTERNAL>::sqrtf	float sqrtf(float __x)	ok	functions/0002e5e0__EXTERNAL___sqrtf.c	
0002e5ec	<EXTERNAL>::memset	void * memset(void * __s, int __c, size_t __n)	ok	functions/0002e5ec__EXTERNAL___memset.c	
0002e5f8	<EXTERNAL>::malloc	void * malloc(size_t __size)	ok	functions/0002e5f8__EXTERNAL___malloc.c	
0002e604	<EXTERNAL>::free	void free(void * __ptr)	ok	functions/0002e604__EXTERNAL___free.c	
0002e610	<EXTERNAL>::floorf	float floorf(float __x)	ok	functions/0002e610__EXTERNAL___floorf.c	
0002e61c	<EXTERNAL>::srand48	void srand48(long __seedval)	ok	functions/0002e61c__EXTERNAL___srand48.c	
0002e628	<EXTERNAL>::glNormalPointer	undefined glNormalPointer(void)	ok	functions/0002e628__EXTERNAL___glNormalPointer.c	
0002e634	<EXTERNAL>::glBlendFunc	undefined glBlendFunc(void)	ok	functions/0002e634__EXTERNAL___glBlendFunc.c	
0002e640	<EXTERNAL>::glAlphaFunc	undefined glAlphaFunc(void)	ok	functions/0002e640__EXTERNAL___glAlphaFunc.c	
0002e64c	<EXTERNAL>::glEnable	undefined glEnable(void)	ok	functions/0002e64c__EXTERNAL___glEnable.c	
0002e658	<EXTERNAL>::glDisable	undefined glDisable(void)	ok	functions/0002e658__EXTERNAL___glDisable.c	
0002e664	<EXTERNAL>::glCullFace	undefined glCullFace(void)	ok	functions/0002e664__EXTERNAL___glCullFace.c	
0002e670	<EXTERNAL>::glFrontFace	undefined glFrontFace(void)	ok	functions/0002e670__EXTERNAL___glFrontFace.c	
0002e67c	<EXTERNAL>::glDepthFunc	undefined glDepthFunc(void)	ok	functions/0002e67c__EXTERNAL___glDepthFunc.c	
0002e688	<EXTERNAL>::glDepthMask	undefined glDepthMask(void)	ok	functions/0002e688__EXTERNAL___glDepthMask.c	
0002e6ac	<EXTERNAL>::glLogicOp	undefined glLogicOp(void)	ok	functions/0002e6ac__EXTERNAL___glLogicOp.c	
0002e6b8	<EXTERNAL>::glClientActiveTexture	undefined glClientActiveTexture(void)	ok	functions/0002e6b8__EXTERNAL___glClientActiveTexture.c	
0002e6d0	<EXTERNAL>::glEnableClientState	undefined glEnableClientState(void)	ok	functions/0002e6d0__EXTERNAL___glEnableClientState.c	
0002e6e8	<EXTERNAL>::glClearColor	undefined glClearColor(void)	ok	functions/0002e6e8__EXTERNAL___glClearColor.c	
0002e700	<EXTERNAL>::glFinish	undefined glFinish(void)	ok	functions/0002e700__EXTERNAL___glFinish.c	
0002e70c	<EXTERNAL>::glFlush	undefined glFlush(void)	ok	functions/0002e70c__EXTERNAL___glFlush.c	
0002e718	<EXTERNAL>::glMatrixMode	undefined glMatrixMode(void)	ok	functions/0002e718__EXTERNAL___glMatrixMode.c	
0002e748	<EXTERNAL>::glDeleteTextures	undefined glDeleteTextures(void)	ok	functions/0002e748__EXTERNAL___glDeleteTextures.c	
0002e760	<EXTERNAL>::glActiveTexture	undefined glActiveTexture(void)	ok	functions/0002e760__EXTERNAL___glActiveTexture.c	
0002e76c	<EXTERNAL>::glTexParameteri	undefined glTexParameteri(void)	ok	functions/0002e76c__EXTERNAL___glTexParameteri.c	
0002e778	<EXTERNAL>::glTexEnvi	undefined glTexEnvi(void)	ok	functions/0002e778__EXTERNAL___glTexEnvi.c	
0002e784	<EXTERNAL>::glTexEnvf	undefined glTexEnvf(void)	ok	functions/0002e784__EXTERNAL___glTexEnvf.c	
0002e790	<EXTERNAL>::glTexParameterf	undefined glTexParameterf(void)	ok	functions/0002e790__EXTERNAL___glTexParameterf.c	
0002e79c	<EXTERNAL>::glTexEnvfv	undefined glTexEnvfv(void)	ok	functions/0002e79c__EXTERNAL___glTexEnvfv.c	
0002e7a8	<EXTERNAL>::glFogf	undefined glFogf(void)	ok	functions/0002e7a8__EXTERNAL___glFogf.c	
0002e7b4	<EXTERNAL>::glFogfv	undefined glFogfv(void)	ok	functions/0002e7b4__EXTERNAL___glFogfv.c	
0002e7c0	<EXTERNAL>::glCopyTexImage2D	undefined glCopyTexImage2D(void)	ok	functions/0002e7c0__EXTERNAL___glCopyTexImage2D.c	
0002e7d8	<EXTERNAL>::glDeleteBuffers	undefined glDeleteBuffers(void)	ok	functions/0002e7d8__EXTERNAL___glDeleteBuffers.c	
0002e808	<EXTERNAL>::glGetError	undefined glGetError(void)	ok	functions/0002e808__EXTERNAL___glGetError.c	
0002e814	<EXTERNAL>::glDepthRangef	undefined glDepthRangef(void)	ok	functions/0002e814__EXTERNAL___glDepthRangef.c	
0002e820	<EXTERNAL>::glViewport	undefined glViewport(void)	ok	functions/0002e820__EXTERNAL___glViewport.c	
0002e82c	<EXTERNAL>::glReadPixels	undefined glReadPixels(void)	ok	functions/0002e82c__EXTERNAL___glReadPixels.c	
0002e838	<EXTERNAL>::glTexImage2D	undefined glTexImage2D(void)	ok	functions/0002e838__EXTERNAL___glTexImage2D.c	
0002e844	<EXTERNAL>::glCompressedTexImage2D	undefined glCompressedTexImage2D(void)	ok	functions/0002e844__EXTERNAL___glCompressedTexImage2D.c	
0002e850	<EXTERNAL>::glGetString	undefined glGetString(void)	ok	functions/0002e850__EXTERNAL___glGetString.c	
0002e85c	<EXTERNAL>::glGetFloatv	undefined glGetFloatv(void)	ok	functions/0002e85c__EXTERNAL___glGetFloatv.c	
0002e868	<EXTERNAL>::glVertexPointer	undefined glVertexPointer(void)	ok	functions/0002e868__EXTERNAL___glVertexPointer.c	
0002e874	<EXTERNAL>::glColorPointer	undefined glColorPointer(void)	ok	functions/0002e874__EXTERNAL___glColorPointer.c	
0002e88c	<EXTERNAL>::strcasecmp	int strcasecmp(char * __s1, char * __s2)	ok	functions/0002e88c__EXTERNAL___strcasecmp.c	
0002e898	<EXTERNAL>::lrand48	long lrand48(void)	ok	functions/0002e898__EXTERNAL___lrand48.c	
0002e8a4	<EXTERNAL>::mktime	time_t mktime(tm * __tp)	ok	functions/0002e8a4__EXTERNAL___mktime.c	
0002e8b0	<EXTERNAL>::difftime	double difftime(time_t __time1, time_t __time0)	ok	functions/0002e8b0__EXTERNAL___difftime.c	
0002e8bc	<EXTERNAL>::ceilf	float ceilf(float __x)	ok	functions/0002e8bc__EXTERNAL___ceilf.c	
0002e8c8	<EXTERNAL>::cosf	float cosf(float __x)	ok	functions/0002e8c8__EXTERNAL___cosf.c	
0002e8d4	<EXTERNAL>::sinf	float sinf(float __x)	ok	functions/0002e8d4__EXTERNAL___sinf.c	
0002e8e0	<EXTERNAL>::puts	int puts(char * __s)	ok	functions/0002e8e0__EXTERNAL___puts.c	
0002e8ec	<EXTERNAL>::abort	noreturn void abort(void)	ok	functions/0002e8ec__EXTERNAL___abort.c	
0002e8f8	<EXTERNAL>::time	time_t time(time_t * __timer)	ok	functions/0002e8f8__EXTERNAL___time.c	
0002e904	<EXTERNAL>::gmtime_r	tm * gmtime_r(time_t * __timer, tm * __tp)	ok	functions/0002e904__EXTERNAL___gmtime_r.c	
0002e910	<EXTERNAL>::localtime_r	tm * localtime_r(time_t * __timer, tm * __tp)	ok	functions/0002e910__EXTERNAL___localtime_r.c	
0002e91c	<EXTERNAL>::clock_gettime	int clock_gettime(clockid_t __clock_id, timespec * __tp)	ok	functions/0002e91c__EXTERNAL___clock_gettime.c	
0002e934	<EXTERNAL>::asinf	float asinf(float __x)	ok	functions/0002e934__EXTERNAL___asinf.c	
0002e940	<EXTERNAL>::acosf	float acosf(float __x)	ok	functions/0002e940__EXTERNAL___acosf.c	
0002e94c	<EXTERNAL>::iswspace	int iswspace(wint_t __wc)	ok	functions/0002e94c__EXTERNAL___iswspace.c	
0002e958	<EXTERNAL>::pthread_mutex_lock	int pthread_mutex_lock(pthread_mutex_t * __mutex)	ok	functions/0002e958__EXTERNAL___pthread_mutex_lock.c	
0002e964	<EXTERNAL>::pthread_cond_timedwait_monotonic_np	undefined pthread_cond_timedwait_monotonic_np(void)	ok	functions/0002e964__EXTERNAL___pthread_cond_timedwait_monotonic_np.c	
0002e970	<EXTERNAL>::pthread_mutex_unlock	int pthread_mutex_unlock(pthread_mutex_t * __mutex)	ok	functions/0002e970__EXTERNAL___pthread_mutex_unlock.c	
0002e97c	<EXTERNAL>::sched_yield	int sched_yield(void)	ok	functions/0002e97c__EXTERNAL___sched_yield.c	
0002e988	<EXTERNAL>::pthread_mutex_init	int pthread_mutex_init(pthread_mutex_t * __mutex, pthread_mutexattr_t * __mutexattr)	ok	functions/0002e988__EXTERNAL___pthread_mutex_init.c	
0002e994	<EXTERNAL>::pthread_cond_init	int pthread_cond_init(pthread_cond_t * __cond, pthread_condattr_t * __cond_attr)	ok	functions/0002e994__EXTERNAL___pthread_cond_init.c	
0002e9a0	<EXTERNAL>::munmap	int munmap(void * __addr, size_t __len)	ok	functions/0002e9a0__EXTERNAL___munmap.c	
0002e9ac	<EXTERNAL>::pthread_mutex_destroy	int pthread_mutex_destroy(pthread_mutex_t * __mutex)	ok	functions/0002e9ac__EXTERNAL___pthread_mutex_destroy.c	
0002e9b8	<EXTERNAL>::pthread_key_delete	int pthread_key_delete(pthread_key_t __key)	ok	functions/0002e9b8__EXTERNAL___pthread_key_delete.c	
0002e9c4	<EXTERNAL>::pthread_getspecific	void * pthread_getspecific(pthread_key_t __key)	ok	functions/0002e9c4__EXTERNAL___pthread_getspecific.c	
0002e9d0	<EXTERNAL>::pthread_setspecific	int pthread_setspecific(pthread_key_t __key, void * __pointer)	ok	functions/0002e9d0__EXTERNAL___pthread_setspecific.c	
0002e9dc	<EXTERNAL>::mmap	void * mmap(void * __addr, size_t __len, int __prot, int __flags, int __fd, __off_t __offset)	ok	functions/0002e9dc__EXTERNAL___mmap.c	
0002e9e8	<EXTERNAL>::pthread_key_create	int pthread_key_create(pthread_key_t * __key, __destr_function * __destr_function)	ok	functions/0002e9e8__EXTERNAL___pthread_key_create.c	
0002e9f4	<EXTERNAL>::__assert2	undefined __assert2(void)	ok	functions/0002e9f4__EXTERNAL_____assert2.c	
0002ea00	<EXTERNAL>::dlopen	undefined dlopen(void)	ok	functions/0002ea00__EXTERNAL___dlopen.c	
0002ea0c	<EXTERNAL>::dlsym	undefined dlsym(void)	ok	functions/0002ea0c__EXTERNAL___dlsym.c	
0002ea18	<EXTERNAL>::dlclose	undefined dlclose(void)	ok	functions/0002ea18__EXTERNAL___dlclose.c	
0002ea24	<EXTERNAL>::pthread_cond_wait	int pthread_cond_wait(pthread_cond_t * __cond, pthread_mutex_t * __mutex)	ok	functions/0002ea24__EXTERNAL___pthread_cond_wait.c	
0002ea30	<EXTERNAL>::pthread_cond_broadcast	int pthread_cond_broadcast(pthread_cond_t * __cond)	ok	functions/0002ea30__EXTERNAL___pthread_cond_broadcast.c	
0002ea3c	<EXTERNAL>::strcmp	int strcmp(char * __s1, char * __s2)	ok	functions/0002ea3c__EXTERNAL___strcmp.c	
0002ea48	<EXTERNAL>::strncpy	char * strncpy(char * __dest, char * __src, size_t __n)	ok	functions/0002ea48__EXTERNAL___strncpy.c	
0002ea54	<EXTERNAL>::realloc	void * realloc(void * __ptr, size_t __size)	ok	functions/0002ea54__EXTERNAL___realloc.c	
0002ea60	<EXTERNAL>::raise	int raise(int __sig)	ok	functions/0002ea60__EXTERNAL___raise.c	
0002ea6c	<EXTERNAL>::__gnu_Unwind_Find_exidx	undefined __gnu_Unwind_Find_exidx(void)	ok	functions/0002ea6c__EXTERNAL_____gnu_Unwind_Find_exidx.c	
0002ea8c	_FINI_0	undefined _FINI_0(void)	ok	functions/0002ea8c__FINI_0.c	
0002ea9c	STG::MSIMD::BlendVector4f_HW	undefined __stdcall BlendVector4f_HW(float * param_1, float * param_2, float * param_3, float param_4, ulong param_5)	ok	functions/0002ea9c_STG__MSIMD__BlendVector4f_HW.c	
0002eb8c	STG::MSIMD::Skin3Vector4f_HW	undefined __stdcall Skin3Vector4f_HW(float * param_1, float * param_2, float * param_3, float * param_4, float * param_5, float * param_6, ulong param_7)	ok	functions/0002eb8c_STG__MSIMD__Skin3Vector4f_HW.c	
0002f25c	STG::UStringBase<char,int>::~UStringBase	undefined __thiscall ~UStringBase(UStringBase<char,int> * this)	ok	functions/0002f25c_STG__UStringBase_char_int____UStringBase.c	
0002f2b8	STG::FFileBase::Print	undefined __stdcall Print(char * param_1, ...)	ok	functions/0002f2b8_STG__FFileBase__Print.c	
0002f364	STG::UStringBase<char,int>::~UStringBase	undefined __thiscall ~UStringBase(UStringBase<char,int> * this)	ok	functions/0002f364_STG__UStringBase_char_int____UStringBase.c	
0002f3d0	STG::FFileBase::~FFileBase	undefined __thiscall ~FFileBase(FFileBase * this)	ok	functions/0002f3d0_STG__FFileBase___FFileBase.c	
0002f440	STG::FFileBase::~FFileBase	undefined __thiscall ~FFileBase(FFileBase * this)	ok	functions/0002f440_STG__FFileBase___FFileBase.c	
0002f45c	STG::FFileBase::FFileBase	undefined __thiscall FFileBase(FFileBase * this)	ok	functions/0002f45c_STG__FFileBase__FFileBase.c	
0002f4b8	STG::FFileBase::Open	undefined __thiscall Open(FFileBase * this, char * param_1, EAccess param_2)	ok	functions/0002f4b8_STG__FFileBase__Open.c	
0002f500	STG::FFileBase::Open	undefined __stdcall Open(uchar * param_1, ulong param_2)	ok	functions/0002f500_STG__FFileBase__Open.c	
0002f538	STG::FFileBase::Close	undefined __thiscall Close(FFileBase * this)	ok	functions/0002f538_STG__FFileBase__Close.c	
0002f54c	STG::FFileBase::GetFileSize	undefined __stdcall GetFileSize(void)	ok	functions/0002f54c_STG__FFileBase__GetFileSize.c	
