address	name	signature	status	file	diagnostic
0002d7c8	FUN_0002d7c8	undefined FUN_0002d7c8(void)	ok	functions/0002d7c8_FUN_0002d7c8.c	
0002d7d8	<EXTERNAL>::__cxa_atexit	undefined __cxa_atexit(void)	ok	functions/0002d7d8__EXTERNAL_____cxa_atexit.c	
0002d7e8	<EXTERNAL>::__stack_chk_fail	noreturn undefined __stack_chk_fail(void)	ok	functions/0002d7e8__EXTERNAL_____stack_chk_fail.c	
0002d7f8	<EXTERNAL>::__cxa_finalize	undefined __cxa_finalize(void)	ok	functions/0002d7f8__EXTERNAL_____cxa_finalize.c	
0002d808	<EXTERNAL>::vsnprintf	int vsnprintf(char * __s, size_t __maxlen, char * __format, __gnuc_va_list __arg)	ok	functions/0002d808__EXTERNAL___vsnprintf.c	
0002d818	<EXTERNAL>::fflush	int fflush(FILE * __stream)	ok	functions/0002d818__EXTERNAL___fflush.c	
0002d828	<EXTERNAL>::fprintf	int fprintf(FILE * __stream, char * __format, ...)	ok	functions/0002d828__EXTERNAL___fprintf.c	
0002d838	<EXTERNAL>::fwrite	size_t fwrite(void * __ptr, size_t __size, size_t __n, FILE * __s)	ok	functions/0002d838__EXTERNAL___fwrite.c	
0002d848	<EXTERNAL>::fread	size_t fread(void * __ptr, size_t __size, size_t __n, FILE * __stream)	ok	functions/0002d848__EXTERNAL___fread.c	
0002d858	<EXTERNAL>::ftell	long ftell(FILE * __stream)	ok	functions/0002d858__EXTERNAL___ftell.c	
0002d868	<EXTERNAL>::fseek	int fseek(FILE * __stream, long __off, int __whence)	ok	functions/0002d868__EXTERNAL___fseek.c	
0002d878	<EXTERNAL>::fclose	int fclose(FILE * __stream)	ok	functions/0002d878__EXTERNAL___fclose.c	
0002d888	<EXTERNAL>::fopen	FILE * fopen(char * __filename, char * __modes)	ok	functions/0002d888__EXTERNAL___fopen.c	
0002d898	<EXTERNAL>::memcpy	void * memcpy(void * __dest, void * __src, size_t __n)	ok	functions/0002d898__EXTERNAL___memcpy.c	
0002d8a8	<EXTERNAL>::strlen	size_t strlen(char * __s)	ok	functions/0002d8a8__EXTERNAL___strlen.c	
0002d8b8	<EXTERNAL>::memmove	void * memmove(void * __dest, void * __src, size_t __n)	ok	functions/0002d8b8__EXTERNAL___memmove.c	
0002d8c8	<EXTERNAL>::memcmp	int memcmp(void * __s1, void * __s2, size_t __n)	ok	functions/0002d8c8__EXTERNAL___memcmp.c	
0002d8d8	<EXTERNAL>::atol	long atol(char * __nptr)	ok	functions/0002d8d8__EXTERNAL___atol.c	
0002d8e8	<EXTERNAL>::snprintf	int snprintf(char * __s, size_t __maxlen, char * __format, ...)	ok	functions/0002d8e8__EXTERNAL___snprintf.c	
0002d8f8	<EXTERNAL>::__android_log_write	undefined __android_log_write(void)	ok	functions/0002d8f8__EXTERNAL_____android_log_write.c	
0002d908	<EXTERNAL>::AAssetManager_open	undefined AAssetManager_open(void)	ok	functions/0002d908__EXTERNAL___AAssetManager_open.c	
0002d918	<EXTERNAL>::mkdir	int mkdir(char * __path, __mode_t __mode)	ok	functions/0002d918__EXTERNAL___mkdir.c	
0002d928	<EXTERNAL>::__errno	undefined __errno(void)	ok	functions/0002d928__EXTERNAL_____errno.c	
0002d938	<EXTERNAL>::AAssetManager_fromJava	undefined AAssetManager_fromJava(void)	ok	functions/0002d938__EXTERNAL___AAssetManager_fromJava.c	
0002d948	<EXTERNAL>::AAsset_close	undefined AAsset_close(void)	ok	functions/0002d948__EXTERNAL___AAsset_close.c	
0002d958	<EXTERNAL>::AAsset_getLength	undefined AAsset_getLength(void)	ok	functions/0002d958__EXTERNAL___AAsset_getLength.c	
0002d968	<EXTERNAL>::AAsset_getBuffer	undefined AAsset_getBuffer(void)	ok	functions/0002d968__EXTERNAL___AAsset_getBuffer.c	
0002d978	<EXTERNAL>::tanf	float tanf(float __x)	ok	functions/0002d978__EXTERNAL___tanf.c	
0002d988	<EXTERNAL>::atanf	float atanf(float __x)	ok	functions/0002d988__EXTERNAL___atanf.c	
0002d998	<EXTERNAL>::memset	void * memset(void * __s, int __c, size_t __n)	ok	functions/0002d998__EXTERNAL___memset.c	
0002d9a8	<EXTERNAL>::malloc	void * malloc(size_t __size)	ok	functions/0002d9a8__EXTERNAL___malloc.c	
0002d9b8	<EXTERNAL>::free	void free(void * __ptr)	ok	functions/0002d9b8__EXTERNAL___free.c	
0002d9c8	<EXTERNAL>::srand48	void srand48(long __seedval)	ok	functions/0002d9c8__EXTERNAL___srand48.c	
0002d9d8	<EXTERNAL>::glNormalPointer	undefined glNormalPointer(void)	ok	functions/0002d9d8__EXTERNAL___glNormalPointer.c	
0002d9e8	<EXTERNAL>::glBlendFunc	undefined glBlendFunc(void)	ok	functions/0002d9e8__EXTERNAL___glBlendFunc.c	
0002d9f8	<EXTERNAL>::glAlphaFunc	undefined glAlphaFunc(void)	ok	functions/0002d9f8__EXTERNAL___glAlphaFunc.c	
0002da08	<EXTERNAL>::glEnable	undefined glEnable(void)	ok	functions/0002da08__EXTERNAL___glEnable.c	
0002da18	<EXTERNAL>::glDisable	undefined glDisable(void)	ok	functions/0002da18__EXTERNAL___glDisable.c	
0002da28	<EXTERNAL>::glCullFace	undefined glCullFace(void)	ok	functions/0002da28__EXTERNAL___glCullFace.c	
0002da38	<EXTERNAL>::glFrontFace	undefined glFrontFace(void)	ok	functions/0002da38__EXTERNAL___glFrontFace.c	
0002da48	<EXTERNAL>::glDepthFunc	undefined glDepthFunc(void)	ok	functions/0002da48__EXTERNAL___glDepthFunc.c	
0002da58	<EXTERNAL>::glDepthMask	undefined glDepthMask(void)	ok	functions/0002da58__EXTERNAL___glDepthMask.c	
0002da68	<EXTERNAL>::glColor4f	undefined glColor4f(void)	ok	functions/0002da68__EXTERNAL___glColor4f.c	
0002da78	<EXTERNAL>::glColorMask	undefined glColorMask(void)	ok	functions/0002da78__EXTERNAL___glColorMask.c	
0002da88	<EXTERNAL>::glLogicOp	undefined glLogicOp(void)	ok	functions/0002da88__EXTERNAL___glLogicOp.c	
0002da98	<EXTERNAL>::glClientActiveTexture	undefined glClientActiveTexture(void)	ok	functions/0002da98__EXTERNAL___glClientActiveTexture.c	
0002daa8	<EXTERNAL>::glDisableClientState	undefined glDisableClientState(void)	ok	functions/0002daa8__EXTERNAL___glDisableClientState.c	
0002dab8	<EXTERNAL>::glEnableClientState	undefined glEnableClientState(void)	ok	functions/0002dab8__EXTERNAL___glEnableClientState.c	
0002dac8	<EXTERNAL>::glDrawElements	undefined glDrawElements(void)	ok	functions/0002dac8__EXTERNAL___glDrawElements.c	
0002dad8	<EXTERNAL>::glClearColor	undefined glClearColor(void)	ok	functions/0002dad8__EXTERNAL___glClearColor.c	
0002dae8	<EXTERNAL>::glClear	undefined glClear(void)	ok	functions/0002dae8__EXTERNAL___glClear.c	
0002daf8	<EXTERNAL>::glFinish	undefined glFinish(void)	ok	functions/0002daf8__EXTERNAL___glFinish.c	
0002db08	<EXTERNAL>::glFlush	undefined glFlush(void)	ok	functions/0002db08__EXTERNAL___glFlush.c	
0002db18	<EXTERNAL>::glMatrixMode	undefined glMatrixMode(void)	ok	functions/0002db18__EXTERNAL___glMatrixMode.c	
0002db28	<EXTERNAL>::glLoadMatrixf	undefined glLoadMatrixf(void)	ok	functions/0002db28__EXTERNAL___glLoadMatrixf.c	
0002db38	<EXTERNAL>::glLoadIdentity	undefined glLoadIdentity(void)	ok	functions/0002db38__EXTERNAL___glLoadIdentity.c	
0002db48	<EXTERNAL>::glGenTextures	undefined glGenTextures(void)	ok	functions/0002db48__EXTERNAL___glGenTextures.c	
0002db58	<EXTERNAL>::glDeleteTextures	undefined glDeleteTextures(void)	ok	functions/0002db58__EXTERNAL___glDeleteTextures.c	
0002db68	<EXTERNAL>::glBindTexture	undefined glBindTexture(void)	ok	functions/0002db68__EXTERNAL___glBindTexture.c	
0002db78	<EXTERNAL>::glActiveTexture	undefined glActiveTexture(void)	ok	functions/0002db78__EXTERNAL___glActiveTexture.c	
0002db88	<EXTERNAL>::glTexParameteri	undefined glTexParameteri(void)	ok	functions/0002db88__EXTERNAL___glTexParameteri.c	
0002db98	<EXTERNAL>::glTexEnvi	undefined glTexEnvi(void)	ok	functions/0002db98__EXTERNAL___glTexEnvi.c	
0002dba8	<EXTERNAL>::glTexEnvf	undefined glTexEnvf(void)	ok	functions/0002dba8__EXTERNAL___glTexEnvf.c	
0002dbb8	<EXTERNAL>::glTexParameterf	undefined glTexParameterf(void)	ok	functions/0002dbb8__EXTERNAL___glTexParameterf.c	
0002dbc8	<EXTERNAL>::glTexEnvfv	undefined glTexEnvfv(void)	ok	functions/0002dbc8__EXTERNAL___glTexEnvfv.c	
0002dbd8	<EXTERNAL>::glFogf	undefined glFogf(void)	ok	functions/0002dbd8__EXTERNAL___glFogf.c	
0002dbe8	<EXTERNAL>::glFogfv	undefined glFogfv(void)	ok	functions/0002dbe8__EXTERNAL___glFogfv.c	
0002dbf8	<EXTERNAL>::glCopyTexImage2D	undefined glCopyTexImage2D(void)	ok	functions/0002dbf8__EXTERNAL___glCopyTexImage2D.c	
0002dc08	<EXTERNAL>::glGenBuffers	undefined glGenBuffers(void)	ok	functions/0002dc08__EXTERNAL___glGenBuffers.c	
0002dc18	<EXTERNAL>::glDeleteBuffers	undefined glDeleteBuffers(void)	ok	functions/0002dc18__EXTERNAL___glDeleteBuffers.c	
0002dc28	<EXTERNAL>::glBindBuffer	undefined glBindBuffer(void)	ok	functions/0002dc28__EXTERNAL___glBindBuffer.c	
0002dc38	<EXTERNAL>::glBufferData	undefined glBufferData(void)	ok	functions/0002dc38__EXTERNAL___glBufferData.c	
0002dc48	<EXTERNAL>::glBufferSubData	undefined glBufferSubData(void)	ok	functions/0002dc48__EXTERNAL___glBufferSubData.c	
0002dc58	<EXTERNAL>::glGetError	undefined glGetError(void)	ok	functions/0002dc58__EXTERNAL___glGetError.c	
0002dc68	<EXTERNAL>::glDepthRangef	undefined glDepthRangef(void)	ok	functions/0002dc68__EXTERNAL___glDepthRangef.c	
0002dc78	<EXTERNAL>::glViewport	undefined glViewport(void)	ok	functions/0002dc78__EXTERNAL___glViewport.c	
0002dc88	<EXTERNAL>::glReadPixels	undefined glReadPixels(void)	ok	functions/0002dc88__EXTERNAL___glReadPixels.c	
0002dc98	<EXTERNAL>::glTexImage2D	undefined glTexImage2D(void)	ok	functions/0002dc98__EXTERNAL___glTexImage2D.c	
0002dca8	<EXTERNAL>::glCompressedTexImage2D	undefined glCompressedTexImage2D(void)	ok	functions/0002dca8__EXTERNAL___glCompressedTexImage2D.c	
0002dcb8	<EXTERNAL>::glGetString	undefined glGetString(void)	ok	functions/0002dcb8__EXTERNAL___glGetString.c	
0002dcc8	<EXTERNAL>::glGetFloatv	undefined glGetFloatv(void)	ok	functions/0002dcc8__EXTERNAL___glGetFloatv.c	
0002dd08	<EXTERNAL>::strcasecmp	int strcasecmp(char * __s1, char * __s2)	ok	functions/0002dd08__EXTERNAL___strcasecmp.c	
0002dd18	<EXTERNAL>::lrand48	long lrand48(void)	ok	functions/0002dd18__EXTERNAL___lrand48.c	
0002dd28	<EXTERNAL>::mktime	time_t mktime(tm * __tp)	ok	functions/0002dd28__EXTERNAL___mktime.c	
0002dd38	<EXTERNAL>::difftime	double difftime(time_t __time1, time_t __time0)	ok	functions/0002dd38__EXTERNAL___difftime.c	
0002dd48	<EXTERNAL>::cosf	float cosf(float __x)	ok	functions/0002dd48__EXTERNAL___cosf.c	
0002dd58	<EXTERNAL>::sinf	float sinf(float __x)	ok	functions/0002dd58__EXTERNAL___sinf.c	
0002dd68	<EXTERNAL>::puts	int puts(char * __s)	ok	functions/0002dd68__EXTERNAL___puts.c	
0002dd78	<EXTERNAL>::abort	noreturn void abort(void)	ok	functions/0002dd78__EXTERNAL___abort.c	
0002dd88	<EXTERNAL>::time	time_t time(time_t * __timer)	ok	functions/0002dd88__EXTERNAL___time.c	
0002dd98	<EXTERNAL>::gmtime_r	tm * gmtime_r(time_t * __timer, tm * __tp)	ok	functions/0002dd98__EXTERNAL___gmtime_r.c	
0002dda8	<EXTERNAL>::localtime_r	tm * localtime_r(time_t * __timer, tm * __tp)	ok	functions/0002dda8__EXTERNAL___localtime_r.c	
0002ddb8	<EXTERNAL>::clock_gettime	int clock_gettime(clockid_t __clock_id, timespec * __tp)	ok	functions/0002ddb8__EXTERNAL___clock_gettime.c	
0002ddc8	<EXTERNAL>::usleep	int usleep(__useconds_t __useconds)	ok	functions/0002ddc8__EXTERNAL___usleep.c	
0002ddd8	<EXTERNAL>::asinf	float asinf(float __x)	ok	functions/0002ddd8__EXTERNAL___asinf.c	
0002dde8	<EXTERNAL>::acosf	float acosf(float __x)	ok	functions/0002dde8__EXTERNAL___acosf.c	
0002ddf8	<EXTERNAL>::iswspace	int iswspace(wint_t __wc)	ok	functions/0002ddf8__EXTERNAL___iswspace.c	
0002de08	<EXTERNAL>::pthread_mutex_lock	int pthread_mutex_lock(pthread_mutex_t * __mutex)	ok	functions/0002de08__EXTERNAL___pthread_mutex_lock.c	
0002de18	<EXTERNAL>::pthread_cond_timedwait_monotonic_np	undefined pthread_cond_timedwait_monotonic_np(void)	ok	functions/0002de18__EXTERNAL___pthread_cond_timedwait_monotonic_np.c	
0002de28	<EXTERNAL>::pthread_mutex_unlock	int pthread_mutex_unlock(pthread_mutex_t * __mutex)	ok	functions/0002de28__EXTERNAL___pthread_mutex_unlock.c	
0002de38	<EXTERNAL>::sched_yield	int sched_yield(void)	ok	functions/0002de38__EXTERNAL___sched_yield.c	
0002de48	<EXTERNAL>::pthread_mutex_init	int pthread_mutex_init(pthread_mutex_t * __mutex, pthread_mutexattr_t * __mutexattr)	ok	functions/0002de48__EXTERNAL___pthread_mutex_init.c	
0002de58	<EXTERNAL>::pthread_cond_init	int pthread_cond_init(pthread_cond_t * __cond, pthread_condattr_t * __cond_attr)	ok	functions/0002de58__EXTERNAL___pthread_cond_init.c	
0002de68	<EXTERNAL>::open	int open(char * __file, int __oflag, ...)	ok	functions/0002de68__EXTERNAL___open.c	
