Cmdline: /system/bin/simpleperf record --app com.dualboot.apps.beach --add-meta-info app_type=debuggable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -p 10208 -e cpu-clock:u -f 500 --call-graph fp --duration 12
Arch: arm64
Event: cpu-clock:u (type 1, config 0)
Samples: 4693
Event count: 9386000000

Overhead  Symbol
8.69%     [linker]do_dlsym(void*, char const*, char const*, void const*, void**)
5.37%     helper_check_exit_request_arm
4.43%     flatview_translate_arm
3.32%     tb_invalidate_phys_page_fast_arm
2.83%     helper_lookup_tb_ptr_arm
2.73%     @plt
2.58%     find_memory_mapping_arm
1.96%     cpu_exec_arm
1.58%     __strcmp_aarch64
1.43%     __strlen_aarch64
1.39%     std::__ndk1::pair<std::__ndk1::__tree_iterator<std::__ndk1::__value_type<std::__ndk1::basic_string<char, std::__ndk1::char_traits<char>, std::__ndk1::allocator<char> >, unsigned long>, std::__ndk1::__tree_node<std::__ndk1::__value_type<std::__ndk1::basic_string<char, std::__ndk1::char_traits<char>, std::__ndk1::allocator<char> >, unsigned long>, void*>*, long>, bool> std::__ndk1::__tree<std::__ndk1::__value_type<std::__ndk1::basic_string<char, std::__ndk1::char_traits<char>, std::__ndk1::allocator<char> >, unsigned long>, std::__ndk1::__map_value_compare<std::__ndk1::basic_string<char, std::__ndk1::char_traits<char>, std::__ndk1::allocator<char> >, std::__ndk1::__value_type<std::__ndk1::basic_string<char, std::__ndk1::char_traits<char>, std::__ndk1::allocator<char> >, unsigned long>, std::__ndk1::less<std::__ndk1::basic_string<char, std::__ndk1::char_traits<char>, std::__ndk1::allocator<char> > >, true>, std::__ndk1::allocator<std::__ndk1::__value_type<std::__ndk1::basic_string<char, std::__ndk1::char_traits<char>, std::__ndk1::allocator<char> >, unsigned long> > >::__emplace_unique_key_args<std::__ndk1::basic_string<char, std::__ndk1::char_traits<char>, std::__ndk1::allocator<char> >, std::__ndk1::piecewise_construct_t const&, std::__ndk1::tuple<std::__ndk1::basic_string<char, std::__ndk1::char_traits<char>, std::__ndk1::allocator<char> > const&>, std::__ndk1::tuple<> >(std::__ndk1::basic_string<char, std::__ndk1::char_traits<char>, std::__ndk1::allocator<char> > const&, std::__ndk1::piecewise_construct_t const&, std::__ndk1::tuple<std::__ndk1::basic_string<char, std::__ndk1::char_traits<char>, std::__ndk1::allocator<char> > const&>&&, std::__ndk1::tuple<>&&)
1.19%     cpu_get_tb_cpu_state_arm
0.87%     float32_mul_arm
0.85%     [linker]android::properties::PropertyInfoArea::GetPropertyInfoIndexes(char const*, unsigned int*, unsigned int*) const
0.77%     BeachRuntime::graphics(std::__ndk1::basic_string<char, std::__ndk1::char_traits<char>, std::__ndk1::allocator<char> > const&)
0.62%     BeachRuntime::trapHook(uc_struct*, unsigned long, unsigned int, void*)
0.62%     __memcmp_aarch64
0.62%     pthread_getspecific
0.53%     _longjmp
0.51%     libdbgengine.so[+168e28]
0.51%     libdbgengine.so[+168e34]
0.49%     __emutls_get_address
0.49%     uc_reg_read
0.47%     float32_add_arm
0.47%     reg_read_arm
0.45%     libdbgengine.so[+168f48]
0.43%     [linker]__strncmp_aarch64
0.43%     libdbgengine.so[+168f04]
0.43%     pthread_mutex_unlock
